DELIVERY ZIPCODE,LOCALE NAME,PHYSICAL CITY,PHYSICAL STATE
00601,ADJUNTAS,ADJUNTAS,PR
00602,AGUADA,AGUADA,PR
00603,AGUADILLA,AGUADILLA,PR
00604,RAMEY,AGUADILLA,PR
00605,AGUADILLA,AGUADILLA,PR
00605,VICTORIA,AGUADILLA,PR
00606,MARICAO,MARICAO,PR
00610,ANASCO,ANASCO,PR
00611,ANGELES,ANGELES,PR
00612,ARECIBO,ARECIBO,PR
00613,ARECIBO PUEBLO,ARECIBO,PR
00613,COTTO,ARECIBO,PR
00614,ARECIBO,ARECIBO,PR
00616,BAJADERO,BAJADERO,PR
00617,BARCELONETA,BARCELONETA,PR
00622,BOQUERON,BOQUERON,PR
00623,CABO ROJO,CABO ROJO,PR
00624,PENUELAS,PENUELAS,PR
00627,CAMUY,CAMUY,PR
00631,CPU CASTANER CONTRACT,CASTANER,PR
00637,SABANA GRANDE,SABANA GRANDE,PR
00638,CIALES,CIALES,PR
00641,UTUADO,UTUADO,PR
00646,DORADO,DORADO,PR
00647,ENSENADA,ENSENADA,PR
00650,FLORIDA,FLORIDA,PR
00652,GARROCHALES,GARROCHALES,PR
00653,GUANICA,GUANICA,PR
00656,GUAYANILLA,GUAYANILLA,PR
00659,HATILLO,HATILLO,PR
00660,HORMIGUEROS,HORMIGUEROS,PR
00662,ISABELA,ISABELA,PR
00664,JAYUYA,JAYUYA,PR
00667,LAJAS,LAJAS,PR
00669,LARES,LARES,PR
00670,LAS MARIAS,LAS MARIAS,PR
00674,MANATI,MANATI,PR
00676,CPU VOLADORAS CONTRACT,MOCA,PR
00676,MOCA,MOCA,PR
00677,RINCON,RINCON,PR
00678,QUEBRADILLAS,QUEBRADILLAS,PR
00680,MARINA,MAYAGUEZ,PR
00680,MAYAGUEZ,MAYAGUEZ,PR
00681,MARINA,MAYAGUEZ,PR
00681,MAYAGUEZ,MAYAGUEZ,PR
00682,MARINA,MAYAGUEZ,PR
00683,SAN GERMAN,SAN GERMAN,PR
00685,CPU HATO ARRIBA CONTRACT,SAN SEBASTIAN,PR
00685,CPU JUNCAL CONTRACT,SAN SEBASTIAN,PR
00685,SAN SEBASTIAN,SAN SEBASTIAN,PR
00687,MOROVIS,MOROVIS,PR
00688,SABANA HOYOS,SABANA HOYOS,PR
00690,SAN ANTONIO,SAN ANTONIO,PR
00692,BO MARICAO,VEGA ALTA,PR
00692,VEGA ALTA,VEGA ALTA,PR
00693,VEGA BAJA,VEGA BAJA,PR
00694,VEGA BAJA,VEGA BAJA,PR
00698,YAUCO,YAUCO,PR
00703,AGUAS BUENAS,AGUAS BUENAS,PR
00704,AGUIRRE,AGUIRRE,PR
00705,AIBONITO,AIBONITO,PR
00707,MAUNABO,MAUNABO,PR
00714,ARROYO,ARROYO,PR
00715,MERCEDITA,MERCEDITA,PR
00716,PONCE,PONCE,PR
00717,PONCE,PONCE,PR
00718,NAGUABO,NAGUABO,PR
00719,NARANJITO,NARANJITO,PR
00720,OROCOVIS,OROCOVIS,PR
00721,PALMER,PALMER,PR
00723,PATILLAS,PATILLAS,PR
00725,CAGUAS,CAGUAS,PR
00725,NORTH,CAGUAS,PR
00726,CAGUAS,CAGUAS,PR
00726,NORTH,CAGUAS,PR
00727,CAGUAS,CAGUAS,PR
00727,NORTH,CAGUAS,PR
00728,PONCE,PONCE,PR
00729,CANOVANAS,CANOVANAS,PR
00730,PONCE,PONCE,PR
00731,PONCE,PONCE,PR
00732,CPU UNIVERSIDAD CATOLICA,PONCE,PR
00732,PONCE,PONCE,PR
00733,ATOCHA,PONCE,PR
00735,CEIBA,CEIBA,PR
00736,CAYEY,CAYEY,PR
00737,CAYEY,CAYEY,PR
00738,FAJARDO,FAJARDO,PR
00739,CIDRA,CIDRA,PR
00740,FAJARDO,FAJARDO,PR
00740,PUERTO REAL,PUERTO REAL,PR
00741,HUMACAO,HUMACAO,PR
00741,PUNTA SANTIAGO,PUNTA SANTIAGO,PR
00744,RIO BLANCO,RIO BLANCO,PR
00745,RIO GRANDE,RIO GRANDE,PR
00751,ALBERGUE OLIMPICO,SALINAS,PR
00751,SALINAS,SALINAS,PR
00754,SAN LORENZO,SAN LORENZO,PR
00757,SANTA ISABEL,SANTA ISABEL,PR
00765,VIEQUES,VIEQUES,PR
00766,VILLALBA,VILLALBA,PR
00767,YABUCOA,YABUCOA,PR
00769,COAMO,COAMO,PR
00771,LAS PIEDRAS,LAS PIEDRAS,PR
00772,LOIZA,LOIZA,PR
00773,LUQUILLO,LUQUILLO,PR
00775,CULEBRA,CULEBRA,PR
00777,JUNCOS,JUNCOS,PR
00778,GURABO,GURABO,PR
00780,COTO LAUREL,COTO LAUREL,PR
00782,COMERIO,COMERIO,PR
00783,COROZAL,COROZAL,PR
00783,CPU PALMARITO CONTRACT,COROZAL,PR
00784,GUAYAMA,GUAYAMA,PR
00785,GUAYAMA,GUAYAMA,PR
00786,LA PLATA,LA PLATA,PR
00791,HUMACAO,HUMACAO,PR
00792,HUMACAO,HUMACAO,PR
00794,BARRANQUITAS,BARRANQUITAS,PR
00795,JUANA DIAZ,JUANA DIAZ,PR
00801,CHARLOTTE AMALIE,ST THOMAS,VI
00801,HAVENSIGHT,ST THOMAS,VI
00802,CHARLOTTE AMALIE,ST THOMAS,VI
00802,VETERANS ANNEX,ST THOMAS,VI
00803,VETERANS ANNEX,ST THOMAS,VI
00804,EMANCIPATION GARDENS,ST THOMAS,VI
00805,EAST END,ST THOMAS,VI
